Name,Phone1,Phone2,Phone3,Phone4,Phone5,Street Address,Locality,Pincode,City,Country,Mail,Website,Person to Contact,Working Hours,Services Offered,Details,Images URL,Keywords
Akash Educationl Academy,0712 - 2251937,,,,,,Rambagh,440015,nagpur,India,,,,Monday - Saturday: 9.30 AM - 7.30 PM,"School Tuitions for All Subjects , CET Entrance Coaching , 10th STD Tuitions , 9th STD Tuitions , ",,,
The Center Of Learning,7276078000,,,,,Shop No. 83,Abhyankar Nagar,440010,nagpur,India,,,Rushadh,Monday - Saturday: 9 AM - 8 PM,"Spoken English Classes , Banking Tuitions , ",,,
New MBA Zone,0712 - 6457268,,,,,Plot No. 127,Ramdaspeth,440010,nagpur,India,,,Swapnil,Monday - Saturday: 9 AM - 8 PM,"Spoken English Classes , Banking Tuitions , ",,,
Ahmed classes,9326040516,,,,,No. 541,Nehru Nagar,440001,nagpur,India,,,Ahmed,Monday - Saturday: 9 AM - 6 PM,"10th STD Tuitions , ",,,
Mehta Commerce Classes,9371302334, 9326302334,,,,3 VHV COLONY,Civil Lines,440001,nagpur,India,mehtacommerce@gmail.com,http://www.mehtacommerce.com,Bhacith mehta,Monday - Friday: 9 AM - 8 AM,"Commerce Tuitions (11th & 12th STD) , College Tuitions for Accounts, Finance, Statistics , Chartered Accountant Coaching , 2nd Year PUC Coaching , ",,,"1 Year Program , 3 Months Program , 6 Months Program , Classroom Tuitions , Online Tuitions , Rs.10000-Rs.20000 , "
IIM Gurukul,0712 - 6450947,,,,,3rd Floor,Gokulpeth,440001,nagpur,India,,,Gurdeep,Monday - Saturday: 2 PM - 7 PM,"Big Data Analytics Online Training , R Analytics Online Training , Spoken English Classes , Chartered Accountant Coaching , Banking Tuitions , ",,,
Friends Academy Of Commerce Education,9421245245,,,,,Plot No. 302 ,Jaripatka,440014,nagpur,India,,,Vinod,Monday - Sunday: 10.30 AM - 5 PM,"College Tuitions for Accounts, Finance, Statistics , ",,,
Shrikant Tutorials,0712 - 2224714,,,,,No. 64,Abhyankar Nagar,440010,nagpur,India,,,Shrikant,Monday - Saturday: 4 PM - 8 PM,"Spoken English Classes , Banking Tuitions , ",,,
Jwalas Maths Classes,8055160323,,,,,No. 129 ,Ramdaspeth,440010,nagpur,India,,,Jwalas,Monday - Saturday: 4 PM - 8 PM,"Spoken English Classes , Banking Tuitions , ",,,
Rama Brahmam IIT Academy,+91 40 33584518,,,,,"No. 1, 1st & 3rd Floor",Nallakunta,500044,nagpur,India,rbrahmam5@gmail.com,http://www.rbiitacademy.com,Rama Brahmam,Monday - Saturday: 9 AM - 8 PM,"Physics Tuitions (11th & 12th) , Engineering EAMCET Coaching , IIT Engineering Entrance Coaching , Tuitions for College Subjects , School Tuitions for Math, Physics, Chemistry , ISC Tuitions for 11th & 12th , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , College Tuitions for Maths , College Tuitions for Physics , College Tuitions for Chemistry , IGCSE Maths Tuitions , IGCSE Physics Tuitions , IB Maths Tuitions , IB Physics Tuitions , Online School Coaching Classes , WBJEE Coaching , JEE Advanced Coaching , IIT-JEE Coaching , ","An alumnus of the Hyderabad Central University, Mr. Rama Brahmam is a Post Graduate in Maths and having put in a versatile experience of over two illustrious decades, has reached an excellent stature in the line of teaching. As a master in mathematics, he has several credits which have brought in a great recognition to the fraternity.During his tenure with Gautami Academy for about 8 years he has produced a number of state rankers including the 7th rank in EAMCET thrice. Mr. Brahmams association with Gitanjali Coaching Centre saw him train several students one of whom secured the 49th national rank. A student of Ramaiah also was trained by him who bagged the 8th state rank in IIT-JEE.From 2009 till date, being associated with I.P.L Chaitanya, he had played an intrinsic role in moulding a vast number of students and helping them score appreciable ranks such as 7th & 21st and many more in IITJEE. The best rankers in AIEEE also give the invaluable credit of training them to Mr. Rama Brahmam.  ","http://localserviceassets.blob.core.windows.net:80/businessphoto-t/2-0b92514d-132d-4e3a-809a-26e42a296b8e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-t/4-2aeec56c-b7dd-44c8-a0b3-4b56e0bc279f.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/2-0b92514d-132d-4e3a-809a-26e42a296b8e.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/4-2aeec56c-b7dd-44c8-a0b3-4b56e0bc279f.jpg , ","1 Month Program , 1 Year Program , 3 Months Program , 6 Months Program , Classroom Tuitions , College Tuitions for Chemistry , College Tuitions for Maths , College Tuitions for Physics , Daily Classes , Engineering EAMCET Coaching , Evening Classes , IGCSE Maths Tuitions , IGCSE Physics Tuitions , IIT Engineering Entrance Coaching , IIT-JEE Coaching , ISC Tuitions for 11th & 12th , JEE Advanced Coaching , Online School Coaching Classes , Online Tuitions , Physics Tuitions (11th & 12th) , School Tuitions for Math, Physics, Chemistry , Tuitions for College Subjects , WBJEE Coaching , "
Saraswati Career Academy,9826852962,,,,,No. 8 ,Civil Lines,440001,nagpur,India,,,,Monday - Saturday: 4 PM - 8 PM,"GATE Coaching , GATE Biotechnology Coaching , GATE Civil Engineering Coaching , GATE Chemical Engineering Coaching , GATE Computer Science Coaching , GATE Chemistry Coaching , GATE Mathematics Coaching , GATE Physics Coaching , GATE Electronics Engineering Coaching , GATE Electrical Engineering Coaching , GATE Instrumental Engineering Coaching , GATE Mechanical Engineering Coaching , GATE Production Engineering Coaching , GATE Industrial Engineering Coaching , GATE Coaching for Other Subjects , Chartered Accountant Coaching , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , Language Development Coaching , ",,,"GATE Chemical Engineering Coaching , GATE Chemistry Coaching , GATE Civil Engineering Coaching , GATE Coaching for Other Subjects , GATE Computer Science Coaching , GATE Electrical Engineering Coaching , GATE Electronics Engineering Coaching , GATE Industrial Engineering Coaching , GATE Instrumental Engineering Coaching , GATE Mathematics Coaching , GATE Mechanical Engineering Coaching , GATE Physics Coaching , GATE Production Engineering Coaching , Language Development Coaching , "
Bamnote Career Acadamy,8007161525,,,,,,Manewada Road,440024,nagpur,India,,,,Monday - Saturday: 4 PM - 8 PM,"Chartered Accountant Coaching , Banking Tuitions , Language Development Coaching , ",,,
Gawande Engineering Classes,9372397498,,,,,Plot No. 2,Wardha Road,440015,nagpur,India,,,,Monday - Saturday: 4 PM - 8 PM,"Engineering Tuitions , Mechanical Engineering Tuitions , Aerospace Engineering Tuitions , Biomedical Engineering Tuitions , Biomechanical Engineering Tuitions , Automotive Engineering Tuitions , Civil Engineering Tuitions , Architectural Engineering Tuitions , Electrical Engineering Tuitions , IT & Computer Science Engineering Tuitions , Robotics Engineering Tuitions , Microelectronic Engineering Tuitions , Chemical Engineering Tuitions , Environmental Engineering Tuitions , Aeronautics Engineering Tuitions , Materials Science Engineering Tuitions , Agricultural Engineering Tuitions , Engineering Tuitions - Other Branches , Engineering Physics Tuitions , Biotechnology Engineering Tuitions , Genetic Engineering Tuitions , Engineering Chemistry Tuitions , Mechatronics Engineering Tuitions , Software Engineering Tuitions , Electronics & Communication Engineering Tuitions , Instrumentation Technology Engineering Tuitions , Telecommunication Engineering Tuitions , Industrial & Production Engineering Tuitions , IIT Engineering Entrance Coaching , Computational Aided Engineering Training , ",,,"Biomechanical Engineering Tuitions , Biomedical Engineering Tuitions , Biotechnology Engineering Tuitions , Chemical Engineering Tuitions , Civil Engineering Tuitions , Computational Aided Engineering Training , Electrical Engineering Tuitions , Electronics & Communication Engineering Tuitions , Engineering Chemistry Tuitions , Engineering Physics Tuitions , Engineering Tuitions - Other Branches , Environmental Engineering Tuitions , Genetic Engineering Tuitions , IIT Engineering Entrance Coaching , Industrial & Production Engineering Tuitions , Instrumentation Technology Engineering Tuitions , IT & Computer Science Engineering Tuitions , Materials Science Engineering Tuitions , Mechanical Engineering Tuitions , Mechatronics Engineering Tuitions , Microelectronic Engineering Tuitions , Robotics Engineering Tuitions , Software Engineering Tuitions , Telecommunication Engineering Tuitions , "
Amars Engineering Drawing Class,9423101113,,,,,,Rajendra Nagar,440028,nagpur,India,,,Amar,Monday - Saturday: 4 PM - 8 PM,"Engineering Tuitions , Mechanical Engineering Tuitions , Aerospace Engineering Tuitions , Biomedical Engineering Tuitions , Biomechanical Engineering Tuitions , Automotive Engineering Tuitions , Civil Engineering Tuitions , Architectural Engineering Tuitions , Electrical Engineering Tuitions , IT & Computer Science Engineering Tuitions , Robotics Engineering Tuitions , Microelectronic Engineering Tuitions , Chemical Engineering Tuitions , Environmental Engineering Tuitions , Aeronautics Engineering Tuitions , Materials Science Engineering Tuitions , Agricultural Engineering Tuitions , Engineering Tuitions - Other Branches , Engineering Physics Tuitions , Biotechnology Engineering Tuitions , Genetic Engineering Tuitions , Engineering Chemistry Tuitions , Mechatronics Engineering Tuitions , Software Engineering Tuitions , Electronics & Communication Engineering Tuitions , Instrumentation Technology Engineering Tuitions , Telecommunication Engineering Tuitions , Industrial & Production Engineering Tuitions , IIT Engineering Entrance Coaching , Computational Aided Engineering Training , ",,,"Biomechanical Engineering Tuitions , Biomedical Engineering Tuitions , Biotechnology Engineering Tuitions , Chemical Engineering Tuitions , Civil Engineering Tuitions , Computational Aided Engineering Training , Electrical Engineering Tuitions , Electronics & Communication Engineering Tuitions , Engineering Chemistry Tuitions , Engineering Physics Tuitions , Engineering Tuitions - Other Branches , Environmental Engineering Tuitions , Genetic Engineering Tuitions , IIT Engineering Entrance Coaching , Industrial & Production Engineering Tuitions , Instrumentation Technology Engineering Tuitions , IT & Computer Science Engineering Tuitions , Materials Science Engineering Tuitions , Mechanical Engineering Tuitions , Mechatronics Engineering Tuitions , Microelectronic Engineering Tuitions , Robotics Engineering Tuitions , Software Engineering Tuitions , Telecommunication Engineering Tuitions , "
Mak Academy,9823608865,,,,,2nd Floor,Sitabuldi,440012,nagpur,India,,http://www.makacademy.in,Dr K Digambar,,,,,
Guidance Tutorials,9822927697,,,,,,Byramji Town,440013,nagpur,India,,,Neha,Monday - Sunday: 9 AM - 7.30 PM,"Spoken English Classes , Chartered Accountant Coaching , ",,,
Interactive Teaching Institute,0712 - 6547153,,,,,No. 40 ,Ramdaspeth,440010,nagpur,India,,,Vinayak,Monday - Saturday: 4 PM - 8 PM,"GATE Coaching , Big Data Analytics Online Training , R Analytics Online Training , GATE Biotechnology Coaching , GATE Civil Engineering Coaching , GATE Chemical Engineering Coaching , GATE Computer Science Coaching , GATE Chemistry Coaching , GATE Mathematics Coaching , GATE Physics Coaching , GATE Electronics Engineering Coaching , GATE Electrical Engineering Coaching , GATE Instrumental Engineering Coaching , GATE Mechanical Engineering Coaching , GATE Production Engineering Coaching , GATE Industrial Engineering Coaching , GATE Coaching for Other Subjects , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , Language Development Coaching , ",,,"GATE Chemistry Coaching , GATE Civil Engineering Coaching , GATE Coaching for Other Subjects , GATE Computer Science Coaching , GATE Electrical Engineering Coaching , GATE Electronics Engineering Coaching , GATE Industrial Engineering Coaching , GATE Instrumental Engineering Coaching , GATE Mathematics Coaching , GATE Mechanical Engineering Coaching , GATE Physics Coaching , GATE Production Engineering Coaching , Language Development Coaching , R Analytics Online Training , "
Bedi Science Academy New Ramdaspeth,9270332151,,,,,No. 272,Ramdaspeth,440010,nagpur,India,,,,Monday - Saturday: 4 PM - 9 PM,"GATE Coaching , Big Data Analytics Online Training , R Analytics Online Training , GATE Biotechnology Coaching , GATE Civil Engineering Coaching , GATE Chemical Engineering Coaching , GATE Computer Science Coaching , GATE Chemistry Coaching , GATE Mathematics Coaching , GATE Physics Coaching , GATE Electronics Engineering Coaching , GATE Electrical Engineering Coaching , GATE Instrumental Engineering Coaching , GATE Mechanical Engineering Coaching , GATE Production Engineering Coaching , GATE Industrial Engineering Coaching , GATE Coaching for Other Subjects , Chartered Accountant Coaching , Language Development Coaching , ",,,"GATE Coaching for Other Subjects , GATE Computer Science Coaching , GATE Electrical Engineering Coaching , GATE Electronics Engineering Coaching , GATE Industrial Engineering Coaching , GATE Instrumental Engineering Coaching , GATE Mathematics Coaching , GATE Mechanical Engineering Coaching , GATE Physics Coaching , GATE Production Engineering Coaching , Language Development Coaching , R Analytics Online Training , "
Dr. Modak Sir Coaching Classes,0712 - 2220151,,,,,Plot No. 1,Laxmi Nagar,440022,nagpur,India,,,Dr. Modak,Monday - Saturday: 4 PM - 8 PM,"GATE Coaching , Big Data Analytics Online Training , GATE Biotechnology Coaching , R Analytics Online Training , GATE Civil Engineering Coaching , GATE Chemical Engineering Coaching , GATE Computer Science Coaching , GATE Chemistry Coaching , GATE Mathematics Coaching , GATE Physics Coaching , GATE Electronics Engineering Coaching , GATE Electrical Engineering Coaching , GATE Instrumental Engineering Coaching , GATE Mechanical Engineering Coaching , GATE Production Engineering Coaching , GATE Industrial Engineering Coaching , GATE Coaching for Other Subjects , Chartered Accountant Coaching , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , Language Development Coaching , ",,,"GATE Chemical Engineering Coaching , GATE Chemistry Coaching , GATE Civil Engineering Coaching , GATE Coaching for Other Subjects , GATE Computer Science Coaching , GATE Electrical Engineering Coaching , GATE Electronics Engineering Coaching , GATE Industrial Engineering Coaching , GATE Instrumental Engineering Coaching , GATE Mathematics Coaching , GATE Mechanical Engineering Coaching , GATE Physics Coaching , GATE Production Engineering Coaching , Language Development Coaching , R Analytics Online Training , "
Advanced Institute of Accounts & Taxation Pvt. Ltd.,0712 - 2741307, 9373104022,,,,Shop No. 15,Dighori,440009,nagpur,India,,http://www.aiatindia.com,,Monday - Sunday: 10 AM - 7 PM,"Corporate Training Providers , College Tuitions for Accounts, Finance, Statistics , Taxation Training , ",,,
Scorpio Systems,0712 - 3204411,,,,,1st Floor,Gorepeth,440001,nagpur,India,,http://www.smunagpur.com,,Monday - Saturday: 6 PM - 9 PM,"Engineering Tuitions , Mechanical Engineering Tuitions , Aerospace Engineering Tuitions , Biomedical Engineering Tuitions , Biomechanical Engineering Tuitions , Automotive Engineering Tuitions , Civil Engineering Tuitions , Architectural Engineering Tuitions , Electrical Engineering Tuitions , IT & Computer Science Engineering Tuitions , Robotics Engineering Tuitions , Microelectronic Engineering Tuitions , Chemical Engineering Tuitions , Environmental Engineering Tuitions , Materials Science Engineering Tuitions , Agricultural Engineering Tuitions , Engineering Tuitions - Other Branches , Engineering Physics Tuitions , Biotechnology Engineering Tuitions , Genetic Engineering Tuitions , Engineering Chemistry Tuitions , Mechatronics Engineering Tuitions , Software Engineering Tuitions , Electronics & Communication Engineering Tuitions , Instrumentation Technology Engineering Tuitions , Telecommunication Engineering Tuitions , Industrial & Production Engineering Tuitions , MBA & BBA Coaching , ",,,"Biomedical Engineering Tuitions , Biotechnology Engineering Tuitions , Chemical Engineering Tuitions , Civil Engineering Tuitions , Electrical Engineering Tuitions , Electronics & Communication Engineering Tuitions , Engineering Chemistry Tuitions , Engineering Physics Tuitions , Engineering Tuitions - Other Branches , Environmental Engineering Tuitions , Genetic Engineering Tuitions , Industrial & Production Engineering Tuitions , Instrumentation Technology Engineering Tuitions , IT & Computer Science Engineering Tuitions , Materials Science Engineering Tuitions , MBA & BBA Coaching , Mechanical Engineering Tuitions , Mechatronics Engineering Tuitions , Microelectronic Engineering Tuitions , Robotics Engineering Tuitions , Software Engineering Tuitions , Telecommunication Engineering Tuitions , "
Rathore Coaching Classes,9370594178, 9860856601,,,,No. 46 ,Somalwada,440015,nagpur,India,,,Mohanlal Rathore,Monday - Saturday: 9 AM - 8.30 PM,"Engineering Tuitions , Mechanical Engineering Tuitions , Aerospace Engineering Tuitions , Biomedical Engineering Tuitions , Biomechanical Engineering Tuitions , Automotive Engineering Tuitions , Civil Engineering Tuitions , Architectural Engineering Tuitions , Electrical Engineering Tuitions , IT & Computer Science Engineering Tuitions , Robotics Engineering Tuitions , Microelectronic Engineering Tuitions , Chemical Engineering Tuitions , Environmental Engineering Tuitions , Materials Science Engineering Tuitions , Agricultural Engineering Tuitions , Engineering Tuitions - Other Branches , Engineering Physics Tuitions , Biotechnology Engineering Tuitions , Genetic Engineering Tuitions , Engineering Chemistry Tuitions , Mechatronics Engineering Tuitions , Software Engineering Tuitions , Electronics & Communication Engineering Tuitions , Instrumentation Technology Engineering Tuitions , Telecommunication Engineering Tuitions , Industrial & Production Engineering Tuitions , Tuitions for College Subjects , School Tuitions for Math, Physics, Chemistry , School Tuitions for All Subjects , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , 10th STD Tuitions , ",,,"Biomechanical Engineering Tuitions , Biomedical Engineering Tuitions , Biotechnology Engineering Tuitions , CBSE Tuitions for Chemistry , CBSE Tuitions for Maths , CBSE Tuitions for Physics , Chemical Engineering Tuitions , Civil Engineering Tuitions , Electrical Engineering Tuitions , Electronics & Communication Engineering Tuitions , Engineering Chemistry Tuitions , Engineering Physics Tuitions , Engineering Tuitions - Other Branches , Environmental Engineering Tuitions , Genetic Engineering Tuitions , Industrial & Production Engineering Tuitions , Instrumentation Technology Engineering Tuitions , IT & Computer Science Engineering Tuitions , Materials Science Engineering Tuitions , Mechanical Engineering Tuitions , Mechatronics Engineering Tuitions , Microelectronic Engineering Tuitions , Robotics Engineering Tuitions , School Tuitions for All Subjects , School Tuitions for Math, Physics, Chemistry , Software Engineering Tuitions , Telecommunication Engineering Tuitions , Tuitions for College Subjects , "
Imperial Education Coaching,7828263734,,,,,No. 203,Nehru Nagar,490001,nagpur,India,,,Arab,Monday - Saturday: 9 AM - 8 PM,"Modeling Schools , Kids Personality Development , CAT Coaching , Spoken English Classes , Banking Tuitions , ",,,
Motion IIT-JEE Courses,0712 - 2444044, 9370755274, 9370755272,,,,Congress Nagar,440012,nagpur,India,,http://www.motioniitmedical.com,Manish Wasalwar,,"Medical Entrance Coaching , IIT-JEE Coaching , ",,,
Perfect Spoken English & Personality Development,9823050567, 9405143875,,,,"3, Mahada Complex",Amravati Road,440001,nagpur,India,Sudhaagarwal12@gmail.com,,Sudha Agarwal,,"Spoken English Classes , ",,,
Eduhub Classes,8446762205,,,,,Shop No. 2,Ambedkar Chowk,440008,nagpur,India,,,,Monday - Saturday: 10 AM - 5 PM,"School Tuitions for Math, Physics, Chemistry , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , 10th STD Tuitions , 9th STD Tuitions , ",,,
Ascendant Learning Center Pvt. Ltd.,0712 - 6466291, 8888882670, 8888883470,,,,Shambhu Nagar,400030,nagpur,India,,http://www.alcgroup.in,,,"School Tuitions for Math, Physics, Chemistry , School Tuitions for All Subjects , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , ",,,
Gawande Classes,9822467690,,,,,,Lakadganj,440008,nagpur,India,,http://www.gawandeclasses.com/,,,"Computer Science Tuitions (11th & 12th STD) , Physics Tuitions (11th & 12th) , School Tuitions for All Subjects , IIT-JEE Coaching , ",,,
Indian School of Finance & Accounts,9326681502, 9763144250,,,,No. 18B,Dharampeth,440010,nagpur,India,,http://www.isfaindia.com,,,"College Tuitions for Accounts, Finance, Statistics , School Tuitions for Accounts, Finance, Statistics , Chartered Financial Analyst (CFA) Coaching , ",,,
Institute of Innovative Designs & Techology,9923595400,,,,,3rd Floor,Kamptee Road,440004,nagpur,India,,http://www.iidt.co.in/,,,"Job Training , Computer Networking Training , Fashion Designing Training , Market Research Analysis Training , Textile Design Courses , ",,,
Creative Business Techniques,0712 - 2425327, 0712 - 2436621,,,,No. 153,Ramdaspeth,440010,nagpur,India,,http://www.creativepds.com,Abhishek Chatterjee,,"Big Data Analytics Online Training , R Analytics Online Training , CAT Coaching , GRE Coaching , SAT Coaching , GMAT Coaching , ",,,
IIT Inception,8308908908,,,,,Plot No. 59,Manewada Road,440034,nagpur,India,,http://www.iit-inception.com,,,"Physics Tuitions (11th & 12th) , Commerce Tuitions (11th & 12th STD) , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , IIT-JEE Coaching , ",,,
Apex Institute of Management & Technology,9503333786,,,,,Chamber No. 3/4/5 & 6 ,Dharampeth,440010,nagpur,India,,http://www.apexinstitute.org.in,,,"Project Management Certification Training , Engineering Tuitions , Project Management Training , Mechanical Engineering Tuitions , Aerospace Engineering Tuitions , Biomedical Engineering Tuitions , Biomechanical Engineering Tuitions , Automotive Engineering Tuitions , Civil Engineering Tuitions , Architectural Engineering Tuitions , Electrical Engineering Tuitions , IT & Computer Science Engineering Tuitions , Robotics Engineering Tuitions , Microelectronic Engineering Tuitions , Chemical Engineering Tuitions , Environmental Engineering Tuitions , Materials Science Engineering Tuitions , Agricultural Engineering Tuitions , Engineering Tuitions - Other Branches , Engineering Physics Tuitions , Biotechnology Engineering Tuitions , Genetic Engineering Tuitions , Engineering Chemistry Tuitions , Mechatronics Engineering Tuitions , Software Engineering Tuitions , Electronics & Communication Engineering Tuitions , Instrumentation Technology Engineering Tuitions , Telecommunication Engineering Tuitions , Industrial & Production Engineering Tuitions , ",,,"Biomedical Engineering Tuitions , Biotechnology Engineering Tuitions , Chemical Engineering Tuitions , Civil Engineering Tuitions , Electrical Engineering Tuitions , Electronics & Communication Engineering Tuitions , Engineering Chemistry Tuitions , Engineering Physics Tuitions , Engineering Tuitions - Other Branches , Environmental Engineering Tuitions , Genetic Engineering Tuitions , Industrial & Production Engineering Tuitions , Instrumentation Technology Engineering Tuitions , IT & Computer Science Engineering Tuitions , Materials Science Engineering Tuitions , Mechanical Engineering Tuitions , Mechatronics Engineering Tuitions , Microelectronic Engineering Tuitions , Project Management Training , Robotics Engineering Tuitions , Software Engineering Tuitions , Telecommunication Engineering Tuitions , "
Jains Academy For Professional Courses,7276975489,,,,,"Block No. 4, 2nd Floor",Sadar,440001,nagpur,India,,http://www.ssei.co.in,Sweety Jain,,"CACPT Coaching , College Tuitions for Accounts, Finance, Statistics , Chartered Accountant Coaching , ",,,
English Vinglish,9766659463,,,,,Plot No. 13,Chatrapati Nagar,440015,nagpur,India,,,,,"Spoken English Classes , ",,,
Abhinav Spoken English Academy,9923594672, 8928949121,,,,No. 226A ,,,nagpur,India,,http://www.mindpowerindia.com,,,"Spoken English Classes , ",,,
Kawale Sir English Academy,9637358871, 9595886127,,,,No. 517,Hanuman Nagar,440009,nagpur,India,,http://www.kawalesir.com,,,"Spoken English Classes , ",,,
Delhi Academy of Medical Science,9371137568, 9423634868,,,,"No. 7, Ground Floor",Untkhana Road,440008,nagpur,India,info@damsdelhi.com,http://www.damsdelhi.com,Nilesh,,"Medical Entrance Coaching , Biomedical Tuitions , Pre-Medical Test (PMT) Entrance Coaching , ",,,
Ngpa College,9370061093, 9225233909,,,,5th Floor,Sitabuldi,440012,nagpur,India,,http://www.ngpacollege.com,,,"Chartered Accountant Coaching , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , ",,,
Svg Institute of Professional Courses Medical Squa,9923045018,,,,,Shop No. 114,Medical Square,440009,nagpur,India,,http://www.svgtrainings.com,,,"MBA & BBA Coaching , ",,,
Ifbi Centre,0712 - 3294734,,,,,3rd Floor,Gorepeth,440001,nagpur,India,,http://www.ifbi.com,,,"Diploma in Banking & Finance (DBF) Coaching , ",,,
ICA,0712 - 6460876,,,,,"Plot No. 47/A, 1st Floor",Gokulpeth,440001,nagpur,India,,http://www.icajobguarantee.com,,,"Diploma in Banking & Finance (DBF) Coaching , College Tuitions for Accounts, Finance, Statistics , ",,,
Pro C Education Pvt. Ltd.,9325550550,,,,,"No. 207, 2nd Floor",Dharampeth,440010,nagpur,India,,http://www.proceducation.com,,,"Law Entrance Coaching , CLAT Entrance Coaching , Common Management Aptitude Test (CMAT) Coaching , CAT Coaching , GRE Coaching , SAT Coaching , MCA Entrance Coaching , XAT Entrance Coaching , ",,,"SAT Coaching , XAT Entrance Coaching , "
Oxford Speakers Academy,0712 - 2525921, 9822315500,,,,2nd Floor,Sitabuldi,440012,nagpur,India,,http://www.oxfordindia.com,Moin Khan,Monday - Sunday: 7 AM - 9 PM,"Job Training , Spoken English Classes , Personality Development Training , ",,,
Achievers Tutorials,9960705769,,,,,,Kamptee Road,441001,nagpur,India,,http://www.achieverstutorials.com,,,"SSC JE Entrance Coaching , 2nd Year PUC Coaching , 1st Year PUC Coaching , 10th STD Tuitions , IIT-JEE Coaching , ",,,
Gen Study,8600359855,,,,,Plot No. 47,Ram Nagar,440011,nagpur,India,,http://www.genstudy.genexttechnologies.com,,,"Diploma in Banking & Finance (DBF) Coaching , Banking Tuitions , ",,,
Dhronas Competative Academy,7709876900, 9604821363,,,,"2nd Floor, Wing A",,,nagpur,India,,http://www.dhronasacademy.com,Rahul,,"Technical Analysis Coaching , Diploma in Banking & Finance (DBF) Coaching , Banking Tuitions , TANCET Entrance Coaching , TNPSC Entrance Coaching , ",,,
Integra Eduventure,9422508537,,,,,,Kamptee Road,440026,nagpur,India,,http://www.intergraedu.com,,,"IIT Engineering Entrance Coaching , IIT HSEE Coaching , 1st Year PUC Coaching , AIEEE Coaching , 10th STD Tuitions , IIT-JEE Coaching , ",,,
Interactive Teaching Institute,9822701780, 9096049232,,,,No. 40,,,nagpur,India,,http://www.interactive.org.in/,Rajesh,,"School Tuitions for Math, Physics, Chemistry , School Tuitions for All Subjects , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , AIEEE Coaching , IIT-JEE Coaching , ",,,"School Tuitions for All Subjects , School Tuitions for Math, Physics, Chemistry , "
Indian Institute of Foreign Languages,9823630484,,,,,No. 10,Shivaji Nagar,440001,nagpur,India,,http://www.iifl.info/,,,"Foreign Languages Coaching , ",,,
Pyramid Tutorials,9370414222, 9370707272,,,,No. 53,,,nagpur,India,,http://www.pyramidtutorials.com,,,"IIT Engineering Entrance Coaching , 2nd Year PUC Coaching , CBSE Tuitions for Maths , CBSE Tuitions for Physics , CBSE Tuitions for Chemistry , IIT HSEE Coaching , 1st Year PUC Coaching , 10th STD Tuitions , IIT-JEE Coaching , ",,,"CBSE Tuitions for Physics , IIT Engineering Entrance Coaching , IIT HSEE Coaching , IIT-JEE Coaching , "
NU Academy,9764430031,,,,,,Vaishali Nagar,440017,nagpur,India,,http://www.nuacademy.in,,,"Spoken English Classes , 2nd Year PUC Coaching , 1st Year PUC Coaching , 10th STD Tuitions , ",,,
Ishwar Tution Classes,0712 - 3241042, 9373108140,,,,No. 130,Rambagh,440009,nagpur,India,,http://www.ishwardhirde.com,,,"IIT Engineering Entrance Coaching , IIT HSEE Coaching , AIEEE Coaching , IIT-JEE Coaching , ",,,
Institute of Competitive Exam,8380892644,,,,,,Katol Road,440013,nagpur,India,,http://www.jobsexam.com,,,"Diploma in Banking & Finance (DBF) Coaching , IBPS Bank Interview Coaching , Banking Tuitions , ",,,
